gene,weight
PTK2,0.9850706
JAK1,0.9850706
CDK4,0.9850706
CDK6,0.9850706
PIK3R4,0.983735
ULK1,0.983735
ULK2,0.983735
PSMD14,0.98153611
AXIN1,0.9771354
WNT2,0.9771354
WNT3,0.9771354
WNT4,0.9771354
WNT5,0.9771354
WNT6,0.9771354
WNT7,0.9771354
WNT8,0.9771354
WNT9,0.9771354
WNT10,0.9771354
WNT11,0.9771354
WNT16,0.9771354
FZD1_7,0.9771354
FZD2,0.9771354
FZD3,0.9771354
FZD4,0.9771354
FZD5_8,0.9771354
FZD6,0.9771354
FZD9_10,0.9771354
DVL,0.9771354
PTGS2,0.9771354
BAK,0.9771354
TNFRSF6,0.9771354
FADD,0.9771354
IL6,0.9755034
LAMC1,0.966598
NOTCH1,0.966598
SHFM1,0.9652624
BIRC2_3,0.95975671
BIRC7_8,0.95975671
PDPK1,0.9443716
APPL1,0.943483
AGTR1,0.943483
ARHGEF12,0.943483
ARHGEF11,0.943483
ARHGEF1,0.943483
PLCG2,0.943483
RALA,0.943483
RALB,0.943483
RALBP1,0.943483
PLD1_2,0.943483
CTBP,0.943483
CASP7,0.94007211
ACE2,0.93813601
NFX1,0.936407
CDK1,0.923638
FLOT,0.9206024
MYO1,0.9206024
ALDO,0.9206024
ACTR1,0.9198508
SRC,0.9189026
DDIT3,0.9150904
TGFA,0.903368
PDGFA,0.903368
PDGFB,0.903368
GSTP,0.903368
CACNA1B,0.8996784
SREBP1,0.88307
MEF2D,0.88307
FGF2,0.877899
FGF,0.877899
GST,0.877899
DLL,0.877899
TBP,0.873413
TTN,0.8731879
KALRN,0.8731879
BRSK,0.8700607
PAK1,0.8700607
VCP,0.8652527
RAB5A,0.8652527
CHMP2B,0.8652527
RAB1A,0.8652527
SQSTM1,0.8652527
ITGB3,0.8563473
THBS2S,0.8563473
PK,0.8563473
HSPA1s,0.8547153
ZEB1,0.842955
ETV5,0.842955
ERG,0.842955
GNA12,0.8321843
GNA13,0.8321843
GNB1,0.8321843
GNB2,0.8321843
GNB3,0.8321843
GNB4,0.8321843
GNB5,0.8321843
GNG2,0.8321843
GNG5,0.8321843
GNG7,0.8321843
GNG12,0.8321843
GNA11,0.8321843
JUP,0.8321843
NCOA1,0.8290571
NCOA3,0.8290571
GADD45,0.8290571
PARK2,0.8264604
CLTA,0.8219433
CLTC,0.8219433
AP2A,0.8219433
C3,0.81928401
ANPEP,0.81928401
A2M,0.81928401
CTSA,0.81928401
AHR,0.817486
KLF4,0.817486
KLF5,0.817486
BCL6,0.817486
CDK5,0.814711
PINK1,0.814711
FYN,0.8041736
P38,0.799274
NOX2,0.7962384
TRAF5,0.793392
PML,0.793392
CUL1,0.793392
RBX1,0.793392
SKP2,0.793392
DDB2,0.793392
KLHL19,0.793392
VHL,0.793392
ELOC,0.793392
ELOB,0.793392
CUL2,0.793392
PSMC1,0.7865814
THRA,0.784402
THRB,0.784402
RARG,0.784402
NR1D1,0.784402
NR1D2,0.784402
NR1D3,0.784402
NR1F1,0.784402
NR1F2,0.784402
NR1F3,0.784402
NR1F4,0.784402
NR1H3,0.784402
NR1H2,0.784402
NR1H4,0.784402
NR1H5,0.784402
NR1H1,0.784402
NR1I2,0.784402
NR1IN,0.784402
NR2A1,0.784402
NR2A2,0.784402
NR2A3,0.784402
NR2A4,0.784402
NR2AN,0.784402
NR2B4,0.784402
NR2C1,0.784402
NR2C2,0.784402
NR2CN,0.784402
NR2E1,0.784402
NR2E3,0.784402
NR2F1,0.784402
NR2F2,0.784402
NR2F3,0.784402
NR2F5,0.784402
NR2F6,0.784402
NR3B1,0.784402
NR3B2,0.784402
NR3B3,0.784402
NR3BN,0.784402
NR3C1,0.784402
NR3C2,0.784402
NR4A1,0.784402
NR4A2,0.784402
NR4A3,0.784402
NR5A1,0.784402
NR5A2,0.784402
NR5A3,0.784402
NR6A1,0.784402
NR6AN,0.784402
NR0AN,0.784402
NR0B1,0.784402
NR0B2,0.784402
ABL1,0.7816426
PIM1,0.7816426
PIM2,0.7816426
ALK,0.7816426
JAK3,0.7816426
KIT,0.7816426
FLT3,0.7816426
MET,0.7816426
FGFR3,0.7816426
FGFR4,0.7816426
RPS6KA5,0.7816426
RET,0.7816426
NTRK1,0.7816426
STK4,0.7816426
DAPK,0.7816426
CSF1R,0.7816426
TGFBR1,0.7816426
TGFBR2,0.7816426
FLT4,0.7816426
USP8,0.78049171
STAMBP,0.78049171
USP15,0.78049171
USP30,0.78049171
FRAT1,0.7737074
FRAT2,0.7737074
NOS2,0.7737074
BID,0.7737074
IRF6,0.7717713
JDP2,0.7686441
CLOCK,0.7686441
GATAD1,0.7686441
GATAD2,0.7686441
DNMT3A,0.7686441
DNMT3B,0.7686441
DNMT3L,0.7686441
ATRX,0.7686441
ZBTB18_42,0.7686441
PRDM2,0.7686441
PRDM6,0.7686441
PRDM7_9,0.7686441
PRDM8,0.7686441
PRDM16,0.7686441
RPH1,0.7686441
AEBP2,0.7686441
CTCF,0.7686441
YY,0.7686441
MYT1,0.7686441
MYT1L,0.7686441
MYST1,0.7686441
MYST2,0.7686441
MYST3,0.7686441
MYST4,0.7686441
TIP60,0.7686441
THAP1_3,0.7686441
THAP5_8,0.7686441
THAP7,0.7686441
THAP10,0.7686441
THAP11,0.7686441
MLL1,0.7686441
MLL4,0.7686441
CXXC1,0.7686441
TET2_3,0.7686441
DNMT1,0.7686441
MBD1,0.7686441
PHF1,0.7686441
PHF6,0.7686441
PHF19,0.7686441
MTF2,0.7686441
ADNP,0.7686441
SATB1,0.7686441
SATB2,0.7686441
SSRP1,0.7686441
HMGA1,0.7686441
HMGA2,0.7686441
rob,0.7686441
iciA,0.7686441
slmA,0.7686441
lrp,0.7686441
fis,0.7686441
parB,0.7686441
PTGER4,0.764802
LAMA1_2,0.764802
LAMA3_5,0.764802
LAMA4,0.764802
LAMB1,0.764802
LAMB2,0.764802
LAMB3,0.764802
LAMB4,0.764802
LAMC2,0.764802
LAMC3,0.764802
TRAF3,0.764802
IFNA,0.764802
IFNAR1,0.764802
IFNAR2,0.764802
CCND2,0.764802
TERT,0.764802
NOTCH3,0.764802
NOTCH4,0.764802
KXD1,0.764218
HAP1,0.7634664
STX1A,0.7634664
DLG4,0.7634664
HIP1,0.7634664
PIK3C3,0.7634664
HD,0.7634664
ATG13,0.7634664
RB1CC1,0.7634664
ATG101,0.7634664
ATG14L,0.7634664
BECN,0.7634664
NRBF2,0.7634664
WIPI1_2,0.7634664
ATG2,0.7634664
AMBRA1,0.7634664
RAC2,0.76317
TAF1,0.7556348
PSMA6,0.74951811
PSMA2,0.74951811
PSMA4,0.74951811
PSMA5,0.74951811
PSMA3,0.74951811
PSMB6,0.74951811
PSMB7,0.74951811
PSMB3,0.74951811
PSMB2,0.74951811
PSMB5,0.74951811
PSMB1,0.74951811
PSMB4,0.74951811
QCR1,0.74951811
QCR2,0.74951811
CDC25A,0.7490841
IKBKE,0.7402216
ZBTB1,0.732979
ZBTB2,0.732979
ZBTB3,0.732979
ZBTB4,0.732979
ZBTB5,0.732979
ZBTB6,0.732979
ZBTB7,0.732979
ZBTB8,0.732979
ZBTB9,0.732979
ZBTB10,0.732979
ZBTB11,0.732979
ZBTB12,0.732979
ZBTB20,0.732979
ZBTB22,0.732979
ZBTB24,0.732979
ZBTB25,0.732979
ZBTB26,0.732979
ZBTB32,0.732979
ZBTB34,0.732979
ZBTB37,0.732979
ZBTB38,0.732979
ZBTB39,0.732979
ZBTB40,0.732979
ZBTB41,0.732979
ZBTB43,0.732979
ZBTB44,0.732979
ZBTB45,0.732979
ZBTB46,0.732979
ZBTB47,0.732979
ZBTB48,0.732979
ZBED1,0.732979
E4F1,0.732979
RC3H,0.732979
CNOT4,0.732979
FBXL19,0.732979
AIRE,0.732979
CACNA1C,0.7306544
CACNA1D,0.7306544
CACNA1F,0.7306544
CACNA1S,0.7306544
BBC3,0.730398
AGT,0.72773871
MMP1,0.72773871
MMP2,0.72773871
TPR,0.72773871
SHH,0.72773871
mtrB,0.7212296
RP-S27Ae,0.7151617
UBE1,0.7151617
UBB,0.7151617
XBP1,0.7132944
ATF6A,0.7132944
HES2_6_7,0.704389
HES3,0.704389
HES4,0.704389
IRF1,0.704389
IRF9,0.704389
RBL1,0.704389
RBL2,0.704389
RBPSUH,0.704389
EGR1,0.702757
RPS6KA,0.7016696
CSNK1E,0.7002851
ARRB,0.698634
PRNP,0.6849397
RYR1,0.6849397
CSNK2B,0.6818125
REST,0.669985
USP5_13,0.66919301
SP7,0.66732571
ctsR,0.66732571
USP22_27_51,0.66606581
BRCC3,0.66606581
APC1,0.6645771
APC2,0.6645771
APC3,0.6645771
APC4,0.6645771
APC5,0.6645771
APC6,0.6645771
APC7,0.6645771
APC8,0.6645771
APC10,0.6645771
APC11,0.6645771
APC12,0.6645771
APC13,0.6645771
APC15,0.6645771
APC16,0.6645771
KO_44806,0.6529193
KO_44811,0.6529193
B4GALT1,0.6529193
ANXA4,0.6529193
RAB3A,0.6529193
RAB3B,0.6529193
RAB3D,0.6529193
RAB8B,0.6529193
RAB10,0.6529193
RAB12,0.6529193
RAB27B,0.6529193
RAB3GAP1,0.6529193
ACTN1_4,0.6529193
ACTN2_3,0.6529193
STXBP1,0.6529193
RHOC,0.6529193
STX1B_2_3,0.6529193
STX4,0.6529193
STX7,0.6529193
STX12,0.6529193
SNAP23,0.6529193
VAMP7,0.6529193
STXBP2,0.6529193
STXBP3,0.6529193
DNM1_3,0.6529193
DNM1L,0.6529193
ARF1_2,0.6529193
ARF6,0.6529193
ITGAM,0.6529193
ITGB2,0.6529193
TLR2,0.6529193
SCARB1,0.6529193
CD36,0.6529193
CORO1A,0.6529193
RAB5B,0.6529193
RAB5C,0.6529193
ACAP,0.6529193
IGFBP3,0.6529193
RAB7A,0.6529193
RAB21,0.6529193
TSG101,0.6529193
VPS28,0.6529193
VPS37,0.6529193
SNF8,0.6529193
VPS25,0.6529193
VPS36,0.6529193
CHMP1,0.6529193
CHMP2A,0.6529193
VPS24,0.6529193
CHMP4A_B,0.6529193
CHMP4C,0.6529193
CHMP6,0.6529193
CHMP7,0.6529193
PDCD6IP,0.6529193
DYSF,0.6529193
RAB4B,0.6529193
RAB11A,0.6529193
RAB11B,0.6529193
RAB13,0.6529193
RAB14,0.6529193
RAB15,0.6529193
RAB35,0.6529193
CD2AP,0.6529193
EHD1,0.6529193
EHD4,0.6529193
CAPZA,0.6529193
CAPZB,0.6529193
RAB6A,0.6529193
RAB6B,0.6529193
ARF3,0.6529193
ARF4,0.6529193
ARF5,0.6529193
PDIA1,0.6529193
PDIA3,0.6529193
ERP44,0.6529193
RAB1B,0.6529193
RAB2A,0.6529193
COPA,0.6529193
COPB1,0.6529193
COPB2,0.6529193
COPG,0.6529193
COPE,0.6529193
RAB33B,0.6529193
ANXA1,0.6529193
ANXA2,0.6529193
ANXA6,0.6529193
GOT1,0.6529193
EPS8,0.6529193
GAPDH,0.6529193
PGAM,0.6529193
LAMP1_2,0.6529193
EEF1A,0.6529193
MYO6,0.6529193
ACTR2,0.6529193
ACTR3,0.6529193
PFN,0.6529193
CFL,0.6529193
CAP1_2,0.6529193
MUC1,0.6529193
MUC13,0.6529193
BUB1,0.6528277
PLK1,0.6528277
AURKA,0.6528277
RAB3IP,0.6497921
EXOC7,0.6497921
NCOA6,0.6497921
BLOC1S2,0.6497921
DYNC1LI,0.6497921
GOLGA1,0.6497921
KIF20,0.6497921
KIF23,0.6497921
ZW10,0.6497921
TMEM33,0.6497921
RTN1,0.6497921
RTN2,0.6497921
RTN3,0.6497921
RTN4,0.6497921
HDAC6,0.6497921
CEP55,0.6497921
RACGAP1,0.6497921
ARHGEF10,0.6497921
PARK7,0.64950841
DCTN2,0.6490405
DCTN3,0.6490405
DCTN4,0.6490405
DCTN5,0.6490405
DCTN6,0.6490405
ACTR10,0.6490405
CSNK1A,0.63603
CSNK2A,0.634398
EIF2AK3,0.634398
TNF,0.6175574
TRIM36,0.614127
TRIM9_67,0.614127
TRIM72,0.614127
CBLB,0.614127
CBLC,0.614127
CBLL1,0.614127
NEDD4,0.614127
NEDD4L,0.614127
ITCH,0.614127
RNF41,0.614127
SMURF,0.614127
WWP1,0.614127
MYLIP,0.614127
RNF115_126,0.614127
CCDC22,0.614127
ATG12,0.614127
ATG7,0.614127
ATG10L,0.614127
ATG10,0.614127
GABARAP,0.614127
ATG3,0.614127
FBXW7,0.614127
STUB1,0.614127
LRSAM1,0.614127
TRIM21,0.614127
UCHL1,0.61071611
ATXN3,0.61071611
YES1,0.6023776
LYN,0.6023776
FGR,0.6023776
HCK,0.6023776
YRK,0.6023776
CASK,0.6023776
STK24_25_MST4,0.6023776
KIN1_2,0.6023776
GAK,0.6023776
AAK,0.6023776
SCYL2,0.6023776
DYRK1,0.6023776
BIN2,0.6023776
FER,0.6023776
FES,0.6023776
HSPB8,0.6023776
PRKAA,0.6023776
TRIO,0.6023776
OBSCN,0.6023776
MAP2K7,0.601626
MAP3K5,0.601626
MAP3K10,0.601626
ERN1,0.601626
KO_44809,0.5944424
CDK5R1,0.5944424
SNCA,0.5944424
OPTN,0.5944424
MFN2,0.5944424
MAP1LC,0.5944424
MAPT,0.5944424
VAPB,0.5944424
RAB39B,0.5944424
C9ORF72,0.5944424
WDR41,0.5944424
SMCR8,0.5944424
ZFYVE1,0.5944424
NOX1,0.5944424
MIR141,0.5873353
MIR29A,0.5873353
MIR29B,0.5873353
MIR29C,0.5873353
MIRLET7,0.5873353
LLGL,0.585537
ITGB5,0.585537
THBS1,0.585537
KPNA1,0.5842081
KPNA2_7,0.5842081
KPNA5_6,0.5842081
KPNB1,0.5842081
NCAM,0.583905
CAV1,0.583905
CAV2,0.583905
CAV3,0.583905
C1QA,0.583905
C1QB,0.583905
C1QG,0.583905
CYBA,0.583905
NCF1,0.583905
NCF2,0.583905
NCF4,0.583905
SOD1,0.5831534
ITPR1,0.5831534
GRIN1,0.5831534
GRIN2B,0.5831534
PSMC2,0.5831534
PSMC4,0.5831534
PSMC6,0.5831534
PSMC3,0.5831534
PSMC5,0.5831534
PSMD2,0.5831534
PSMD1,0.5831534
PSMD3,0.5831534
PSMD9,0.5831534
PSMD12,0.5831534
PSMD11,0.5831534
PSMD6,0.5831534
PSMD7,0.5831534
PSMD13,0.5831534
PSMD4,0.5831534
PSMD8,0.5831534
RPN13,0.5831534
ND1,0.5831534
ND2,0.5831534
ND3,0.5831534
ND4,0.5831534
ND4L,0.5831534
ND5,0.5831534
ND6,0.5831534
NDUFV1,0.5831534
NDUFV2,0.5831534
NDUFV3,0.5831534
NDUFA1,0.5831534
NDUFA2,0.5831534
NDUFA3,0.5831534
NDUFA4,0.5831534
NDUFA5,0.5831534
NDUFA6,0.5831534
NDUFA7,0.5831534
NDUFA8,0.5831534
NDUFA9,0.5831534
NDUFA10,0.5831534
NDUFAB1,0.5831534
NDUFA11,0.5831534
NDUFA12,0.5831534
NDUFA13,0.5831534
NDUFB1,0.5831534
NDUFB2,0.5831534
NDUFB3,0.5831534
NDUFB4,0.5831534
NDUFB5,0.5831534
NDUFB6,0.5831534
NDUFB7,0.5831534
NDUFB8,0.5831534
NDUFB9,0.5831534
NDUFB10,0.5831534
NDUFB11,0.5831534
NDUFS1,0.5831534
NDUFS2,0.5831534
NDUFS3,0.5831534
NDUFS4,0.5831534
NDUFS5,0.5831534
NDUFS6,0.5831534
NDUFS7,0.5831534
NDUFS8,0.5831534
NDUFC1,0.5831534
NDUFC2,0.5831534
SDHA,0.5831534
SDHB,0.5831534
SDHC,0.5831534
SDHD,0.5831534
UQCRFS1,0.5831534
CYTB,0.5831534
CYC1,0.5831534
QCR6,0.5831534
QCR7,0.5831534
QCR8,0.5831534
QCR9,0.5831534
QCR10,0.5831534
COX3,0.5831534
COX1,0.5831534
COX2,0.5831534
COX4,0.5831534
COX5A,0.5831534
COX5B,0.5831534
COX6A,0.5831534
COX6B,0.5831534
COX6C,0.5831534
COX7A,0.5831534
COX7B,0.5831534
COX7C,0.5831534
COX8,0.5831534
ATPeF1A,0.5831534
ATPeF1B,0.5831534
ATPeF1G,0.5831534
ATPeF1D,0.5831534
ATPeF1E,0.5831534
ATPeF0A,0.5831534
ATPeF0B,0.5831534
ATPeF0C,0.5831534
ATPeF0D,0.5831534
ATPeF0O,0.5831534
ATPeF0F6,0.5831534
ATPeF08,0.5831534
VDAC1,0.5831534
VDAC2,0.5831534
VDAC3,0.5831534
SLC25A4S,0.5831534
PPIF,0.5831534
KLC,0.5831534
PSEN1,0.58212611
CASP12,0.58049411
INSRR,0.5622626
DCC,0.561374
CTNNA,0.561374
F2R,0.561374
F2RL3,0.561374
LPAR1,0.561374
LPAR2,0.561374
LPAR3,0.561374
LPAR4,0.561374
LPAR5,0.561374
LPAR6,0.561374
PLEKHG5,0.561374
CXCL12,0.561374
CXCR4,0.561374
PTGER1,0.561374
PTGER2,0.561374
PTGER3,0.561374
GNG3,0.561374
GNG4,0.561374
GNG8,0.561374
GNG10,0.561374
GNG11,0.561374
GNG13,0.561374
GNGT1,0.561374
GNGT2,0.561374
TRAF1,0.561374
TRAF4,0.561374
CRK,0.561374
EDN1,0.561374
BDKRB1,0.561374
BDKRB2,0.561374
EDNRA,0.561374
EDNRB,0.561374
IL2,0.561374
IL3,0.561374
IL4,0.561374
IL5,0.561374
IL7,0.561374
IL12A,0.561374
IL12B,0.561374
IL13,0.561374
IL15,0.561374
IL23A,0.561374
EPO,0.561374
IFNG,0.561374
IL2RA,0.561374
IL2RB,0.561374
IL2RG,0.561374
IL3RA,0.561374
IL4R,0.561374
CSF2RB,0.561374
IL5RA,0.561374
IL6R,0.561374
IL6ST,0.561374
IL7R,0.561374
IL12RB1,0.561374
IL12RB2,0.561374
IL13RA1,0.561374
IL15RA,0.561374
IL23R,0.561374
EPOR,0.561374
IFNGR1,0.561374
IFNGR2,0.561374
EML4,0.561374
RASGRP1,0.561374
RASGRP2,0.561374
RASGRP3,0.561374
RASGRP4,0.561374
VEGFB,0.561374
PGF,0.561374
VEGFC_D,0.561374
IGF2,0.561374
KITLG,0.561374
FLT3LG,0.561374
HGF,0.561374
FGF1,0.561374
FGF19,0.561374
FGF21,0.561374
FGF23,0.561374
IL8,0.561374
CCDC6,0.561374
NCOA4,0.561374
TPM3,0.561374
TFG,0.561374
RASSF1,0.561374
RASSF5,0.561374
RALGDS,0.561374
RAC3,0.561374
RUNX1T1,0.561374
CSF2RA,0.561374
CSF3R,0.561374
CDKN2A,0.561374
CDKN2B,0.561374
CKS1,0.561374
POLK,0.561374
TERC,0.561374
TGFB1,0.561374
TGFB2,0.561374
TGFB3,0.561374
SMAD2,0.561374
SMAD3,0.561374
SMAD4,0.561374
MLH1,0.561374
MSH2,0.561374
MSH3,0.561374
MSH6,0.561374
PMAIP1,0.561374
BCL2L11,0.561374
HMOX1,0.561374
NQO1,0.561374
TXNRD,0.561374
EGLN,0.561374
E4.2.1.2B,0.561374
SLC2A1,0.561374
JAG2,0.561374
PTCH1,0.561374
SMO,0.561374
KIF7,0.561374
SUFU,0.561374
BMP2,0.561374
BMP4,0.561374
HHIP,0.561374
PTCH2,0.561374
CLTB,0.551133
AP2B1,0.551133
AP2M1,0.551133
AP2S1,0.551133
ACR,0.54847371
PCSK4,0.54847371
SPINK13,0.54847371
ADGRL1,0.54847371
AMPH,0.54847371
C1R,0.54847371
C1S,0.54847371
ADGRB1,0.54847371
FURIN,0.54847371
SERPINH1,0.54847371
ATG4,0.54847371
LAP4,0.54847371
DNPEP,0.54847371
CASP1,0.54847371
ACTB_G1,0.5384934
DYNC1H,0.5384934
TUBGCP2,0.5384934
TUBGCP3,0.5384934
RAN,0.5384934
PAFAH1B1,0.5384934
H2A,0.5384934
H2B,0.5384934
H3,0.5384934
FTCD,0.5384934
HMGB1,0.5384934
HMGB2,0.5384934
HMGB3,0.5384934
ACTL6A,0.5384934
MIS12,0.5353662
CHRNA7,0.5288584
EIF4EBP1,0.519953
TMPRSS2,0.50835871
PLAU,0.50835871
PLAT,0.50835871
MMP3,0.50835871
SPINT1,0.50835871
INS,0.50687
CAND1,0.5028283
CUL4,0.5028283
JUNB,0.500961
JUND,0.500961
FOSB,0.500961
FOSL1,0.500961
FOSL2,0.500961
FOSLN,0.500961
BATF,0.500961
CMAF,0.500961
MAFA,0.500961
MAFB,0.500961
MAFF_G_K,0.500961
NRL,0.500961
NFE2,0.500961
NFE2L1_3,0.500961
NFE2N,0.500961
BACH,0.500961
GCN4,0.500961
YAP,0.500961
ATF5,0.500961
ATF7,0.500961
CREBZF,0.500961
SKO1,0.500961
CREM,0.500961
ATF1,0.500961
HAC1,0.500961
CEBPB,0.500961
CEBPG,0.500961
CEBPD,0.500961
CEBPE,0.500961
CEBPN,0.500961
CCAAT,0.500961
DBP,0.500961
HLF,0.500961
TEF,0.500961
NFIL3,0.500961
TGA,0.500961
GBF,0.500961
HY5,0.500961
ABF,0.500961
GCF,0.500961
VRI,0.500961
GT,0.500961
VIP1,0.500961
SWI4,0.500961
SWI6,0.500961
OPI1,0.500961
GCR1,0.500961
GCR2,0.500961
XLNR,0.500961
MBZ1,0.500961
TCF3,0.500961
TCF4_12,0.500961
MYOD1,0.500961
MYF4,0.500961
MYF5,0.500961
MYF6,0.500961
FIGLA,0.500961
ASCL,0.500961
TAL,0.500961
LYL1,0.500961
TWIST,0.500961
TCF15,0.500961
HAND1,0.500961
HAND2,0.500961
MSC,0.500961
PTF1A,0.500961
FERD3L,0.500961
TYE7,0.500961
NHLH,0.500961
MESP,0.500961
MSGN1,0.500961
NEUROD1,0.500961
NEUROD2,0.500961
NEUROD4,0.500961
NEUROD6,0.500961
NEUROG1,0.500961
NEUROG2,0.500961
NEUROG3,0.500961
ATOH1_7,0.500961
ATOH8,0.500961
BHLHA9,0.500961
BHLHB1_6_7,0.500961
BHLHB8,0.500961
BHLHB4_5,0.500961
HESN,0.500961
BHLHB2,0.500961
BHLHB3,0.500961
TCFL5,0.500961
PHO4,0.500961
PHO80,0.500961
AHRR,0.500961
HIF3A,0.500961
NPAS1_3,0.500961
NPAS2,0.500961
ARNTL,0.500961
ARNTL2,0.500961
SIM,0.500961
INO,0.500961
ID1,0.500961
ID2,0.500961
ID3,0.500961
ID4,0.500961
EMC,0.500961
EBF,0.500961
CCNDBP1,0.500961
SOHLH1,0.500961
PIF3,0.500961
PIF4,0.500961
MYC2,0.500961
SPCH,0.500961
TX,0.500961
CBF1,0.500961
TFE3,0.500961
TFEB,0.500961
TFEC,0.500961
USF,0.500961
SREBP2,0.500961
TFAP4,0.500961
NMYC,0.500961
LMYC,0.500961
BMYC,0.500961
SMYC,0.500961
MLX,0.500961
MXD,0.500961
MNT,0.500961
SPZ1,0.500961
NFIA,0.500961
NFIB,0.500961
NFIC,0.500961
NFIX,0.500961
NFIN,0.500961
RFX1_2_3,0.500961
RFX4,0.500961
RFX5,0.500961
RFX6,0.500961
RFXX,0.500961
TFAP2A_B,0.500961
TFAP2C,0.500961
TFAP2D,0.500961
TFAP2E,0.500961
TFAP2N,0.500961
GATA1,0.500961
GATA2,0.500961
GATA3,0.500961
GATA4,0.500961
GATA5,0.500961
GATA6,0.500961
GATAF,0.500961
ZGLP1,0.500961
